,Ages,Area,Baths,Condition,Floor,Garages,Location3,Stratum,Rooms,FormatedPrice
7,Menos de 1 año,108,3,Excelente,3º,1, Occidente,3,3,30000000.0
10,9 a 15 años,90,2,,,, Sur,1,4,40000000.0
13,9 a 15 años,72,1,Bueno,1º,, Sur,1,4,47000000.0
14,1 a 8 años,62,1,,,, Sur,1,3,47000000.0
16,9 a 15 años,77,1,,,, Sur,1,4,50000000.0
17,1 a 8 años,6,1,,,1, Sur,1,2,50000000.0
18,1 a 8 años,42,1,,,, Sur,2,2,50000000.0
20,9 a 15 años,65,1,Bueno,1º,1, Sur,2,2,52000000.0
21,1 a 8 años,72,1,Bueno,1º,, Sur,1,3,55000000.0
22,1 a 8 años,120,2,Remodelar,2º,, Sur,2,2,59000000.0
23,1 a 8 años,23,1,Bueno,1º,, Sur,2,2,59900000.0
30,16 a 30 años,57,1,Excelente,,, Sur,1,2,65000000.0
31,1 a 8 años,90,3,Excelente,3º,1, Noroccidente,2,4,65000000.0
35,9 a 15 años,85,1,Bueno,1º,, Sur,2,3,68000000.0
37,1 a 8 años,108,1,,,, Sur,2,3,69000000.0
38,9 a 15 años,49,1,Bueno,3º,, Sur,2,2,69900000.0
39,9 a 15 años,49,1,Bueno,3º,, Sur,2,2,69900000.0
40,1 a 8 años,72,2,Bueno,,, Noroccidente,2,2,69900000.0
41,1 a 8 años,71,1,Bueno,1º,, Sur,1,3,69900000.0
43,9 a 15 años,49,1,Bueno,3º,1, Sur,3,2,70000000.0
44,1 a 8 años,162,2,,2º,1, Sur,2,4,70000000.0
45,1 a 8 años,162,2,,2º,1, Sur,2,4,70000000.0
47,1 a 8 años,72,1,Bueno,1º,, Sur,2,3,70000000.0
48,1 a 8 años,76,1,,,, Sur,2,3,72000000.0
49,1 a 8 años,76,1,,,, Sur,2,3,72000000.0
55,9 a 15 años,42,1,Excelente,2º,, Sur,2,2,74900000.0
56,Más de 30 años,108,2,Bueno,2º,, Sur,2,4,74900000.0
58,1 a 8 años,52,1,Excelente,,, Sur,2,2,74900000.0
60,9 a 15 años,72,1,Remodelar,3º,, Sur,2,3,75000000.0
61,9 a 15 años,43,1,Remodelar,4º,, Sur,2,3,75000000.0
64,1 a 8 años,72,1,,,, Sur,1,3,75000000.0
65,9 a 15 años,90,2,Excelente,3º,1, Sur,2,3,75000000.0
78,9 a 15 años,46,1,Bueno,,, Sur,2,2,77000000.0
79,1 a 8 años,36,1,,,, Sur,2,2,77000000.0
80,9 a 15 años,76,1,Bueno,3º,, Sur,2,2,77000000.0
84,16 a 30 años,50,1,,,, Sur,2,3,78000000.0
87,1 a 8 años,36,1,Bueno,2º,, Sur,2,2,79000000.0
92,Menos de 1 año,80,2,Bueno,,1, Sur,2,3,79900000.0
94,16 a 30 años,72,1,Bueno,2º,, Sur,2,2,80000000.0
101,16 a 30 años,42,1,Excelente,,, Sur,2,3,80000000.0
108,1 a 8 años,84,1,Bueno,2º,, Chapinero,2,5,80000000.0
110,9 a 15 años,50,1,,1º,1, Sur,2,2,80000000.0
115,1 a 8 años,39,1,Remodelar,1º,, Sur,2,1,80000000.0
116,1 a 8 años,80,2,Remodelar,,1, Sur,2,3,80000000.0
121,Menos de 1 año,3369,1,Bueno,2º,, Sur,2,3,82000000.0
129,16 a 30 años,56,1,Excelente,,1, Sur,2,2,84950000.0
134,9 a 15 años,55,1,Bueno,3º,, Sur,2,3,85000000.0
136,1 a 8 años,38,1,,,1, Sur,2,2,85000000.0
140,9 a 15 años,53,1,Bueno,3º,Más de 10, Sur,2,2,85000000.0
145,9 a 15 años,56,2,Excelente,3º,1, Sur,2,3,85000000.0
155,9 a 15 años,56,2,Excelente,3º,1, Sur,2,3,85000000.0
156,16 a 30 años,80,3,Bueno,3º,, Sur,1,7,85000000.0
165,1 a 8 años,49,1,Excelente,1º,, Sur,2,2,87000000.0
167,16 a 30 años,72,2,Bueno,1º,, Sur,1,4,88000000.0
171,9 a 15 años,60,1,,3º,1, Sur,2,3,89900000.0
175,1 a 8 años,130,2,Bueno,,1, Sur,2,3,89900000.0
177,9 a 15 años,54,1,Excelente,3º,1, Sur,2,3,89900000.0
181,9 a 15 años,195,3,Bueno,,, Sur,2,5,89900000.0
187,1 a 8 años,55,2,,,1, Sur,1,3,90000000.0
188,1 a 8 años,60,1,Excelente,3º,, Sur,2,2,90000000.0
189,1 a 8 años,72,2,,,1, Sur,2,2,90000000.0
190,1 a 8 años,56,2,,,2, Sur,2,3,90000000.0
193,16 a 30 años,48,1,,,, Sur,2,3,90000000.0
197,9 a 15 años,38,2,,,, Sur,2,4,90000000.0
198,9 a 15 años,64,1,,,1, Occidente,2,2,90000000.0
202,9 a 15 años,54,1,,,, Sur,2,2,90000000.0
206,1 a 8 años,123,2,Bueno,,, Sur,2,3,90000000.0
235,9 a 15 años,45,1,Bueno,,1, Sur,2,2,95000000.0
240,9 a 15 años,60,1,,,, Sur,2,2,95000000.0
243,9 a 15 años,70,2,Excelente,2º,, Sur,3,3,95000000.0
246,9 a 15 años,82,2,,,, Sur,1,3,95000000.0
247,9 a 15 años,70,2,Excelente,2º,, Sur,3,3,95000000.0
251,9 a 15 años,70,2,Excelente,2º,, Sur,3,3,95000000.0
254,1 a 8 años,72,1,,,1, Sur,1,3,95000000.0
264,1 a 8 años,45,1,,,, Sur,2,2,95000000.0
265,9 a 15 años,45,1,,,Más de 10, Sur,3,2,95000000.0
266,9 a 15 años,36,1,,,, Occidente,2,2,95000000.0
272,16 a 30 años,63,1,Excelente,3º,, Sur,2,2,95900000.0
275,9 a 15 años,46,1,Bueno,3º,, Occidente,2,3,97000000.0
280,9 a 15 años,52,1,Excelente,3º,Más de 10, Sur,2,2,97800000.0
283,16 a 30 años,68,1,,3º,, Sur,2,3,98000000.0
287,9 a 15 años,50,1,,,, Occidente,2,2,98000000.0
296,9 a 15 años,72,2,Excelente,,1, Sur,2,2,98900000.0
301,16 a 30 años,144,3,Bueno,4º,, Sur,2,6,99000000.0
303,9 a 15 años,65,2,Bueno,3º,, Occidente,2,4,99900000.0
305,16 a 30 años,87,2,Excelente,3º,, Sur,2,3,99900000.0
306,9 a 15 años,45,1,Bueno,3º,, Sur,3,2,99900000.0
310,1 a 8 años,58,1,Excelente,,, Sur,2,3,99999000.0
311,1 a 8 años,58,1,Excelente,,, Sur,2,3,99999000.0
318,9 a 15 años,54,1,Remodelar,3º,, Occidente,2,2,100000000.0
322,9 a 15 años,62,1,Bueno,3º,, Sur,2,3,100000000.0
326,16 a 30 años,115,2,Bueno,,, Sur,2,3,100000000.0
327,1 a 8 años,612,0,,,, Sur,1,0,100000000.0
328,Más de 30 años,98,1,,,1, Sur,1,1,100000000.0
330,9 a 15 años,43,1,Excelente,1º,, Sur,2,2,100000000.0
331,1 a 8 años,612,0,,,, Sur,1,0,100000000.0
338,16 a 30 años,132,2,Bueno,2º,, Sur,2,6,100000000.0
344,1 a 8 años,56,1,,,, Noroccidente,3,2,100000000.0
347,1 a 8 años,72,1,,,1, Sur,1,3,100000000.0
349,1 a 8 años,21544444,1,,,, Sur,2,4,100000000.0
350,1 a 8 años,21544444,1,,,, Sur,2,4,100000000.0
352,1 a 8 años,48,1,Excelente,3º,1, Sur,2,2,102000000.0
353,1 a 8 años,48,1,Excelente,3º,1, Sur,2,2,102000000.0
354,1 a 8 años,48,1,Excelente,3º,1, Sur,2,2,102000000.0
356,1 a 8 años,43,1,Excelente,3º,, Occidente,2,2,102000000.0
366,16 a 30 años,144,2,Bueno,2º,, Sur,1,6,105000000.0
370,Más de 30 años,100,2,Excelente,1º,, Sur,2,4,105000000.0
373,9 a 15 años,55,2,Excelente,3º,1, Sur,2,3,105000000.0
375,9 a 15 años,21,2,,,, Sur,2,3,105000000.0
379,9 a 15 años,72,1,,,, Noroccidente,2,3,105000000.0
387,1 a 8 años,144,2,Excelente,2º,4, Sur,1,3,105000000.0
391,1 a 8 años,47,2,,,, Occidente,2,4,105000000.0
392,1 a 8 años,99,2,Excelente,,1, Sur,2,4,105900000.0
401,1 a 8 años,90,2,,,, Sur,1,2,107900000.0
402,1 a 8 años,90,2,,,, Sur,1,2,107950000.0
403,9 a 15 años,59,2,Bueno,4º,, Occidente,2,3,108000000.0
404,9 a 15 años,59,2,Bueno,4º,, Occidente,2,3,108000000.0
408,9 a 15 años,59,2,Bueno,4º,, Occidente,2,3,108000000.0
411,9 a 15 años,59,2,Bueno,4º,, Occidente,2,3,108000000.0
418,1 a 8 años,89,2,Bueno,,, Sur,2,3,109900000.0
419,1 a 8 años,89,3,Excelente,,, Sur,2,3,109900000.0
422,9 a 15 años,66,2,Excelente,,, Sur,2,3,109900000.0
433,1 a 8 años,54,2,Excelente,4º,1, Sur,2,3,109950000.0
437,16 a 30 años,90,2,,,, Sur,1,4,110000000.0
440,16 a 30 años,97,3,,,, Sur,2,3,110000000.0
441,9 a 15 años,55,1,Bueno,3º,, Occidente,3,3,110000000.0
442,9 a 15 años,110,3,,,, Sur,1,3,110000000.0
443,9 a 15 años,50,2,,4º,1, Occidente,2,3,110000000.0
447,9 a 15 años,62,2,Bueno,4º,, Sur,2,4,110000000.0
451,9 a 15 años,56,1,Bueno,,, Sur,2,3,110000000.0
460,1 a 8 años,84,3,Bueno,,, Sur,2,3,110000000.0
461,9 a 15 años,49,1,,,1, Sur,2,2,110000000.0
465,16 a 30 años,62,2,Bueno,2º,, Sur,2,3,110000000.0
466,9 a 15 años,48,1,Bueno,,, Sur,2,2,110000000.0
469,1 a 8 años,80,2,,,, Sur,2,4,110000000.0
472,9 a 15 años,81,2,,,, Sur,2,4,110000000.0
480,9 a 15 años,54,1,Bueno,3º,1, Sur,3,3,110000000.0
485,9 a 15 años,100,2,Bueno,,, Sur,3,2,110000000.0
487,1 a 8 años,180,2,Bueno,3º,, Sur,2,5,110000000.0
488,1 a 8 años,70,1,,,, Sur,2,4,110000000.0
489,16 a 30 años,80,2,Remodelar,,1, Sur,1,5,110000000.0
492,9 a 15 años,48,1,Excelente,3º,1, Sur,2,2,110000000.0
499,16 a 30 años,80,1,Excelente,3º,, Sur,2,5,110000000.0
501,1 a 8 años,54,1,Excelente,3º,1, Sur,3,3,110000000.0
503,9 a 15 años,54,1,Bueno,3º,1, Sur,3,3,110000000.0
505,9 a 15 años,48,1,Excelente,3º,1, Sur,2,2,110000000.0
506,9 a 15 años,84,2,,,1, Sur,2,5,110000000.0
507,16 a 30 años,80,2,Remodelar,,1, Sur,1,5,110000000.0
509,1 a 8 años,50,2,Excelente,2º,, Occidente,2,1,110000000.0
510,9 a 15 años,54,1,Bueno,3º,1, Sur,3,3,110000000.0
513,1 a 8 años,36,2,Excelente,2º,1, Sur,2,2,110000000.0
518,1 a 8 años,41,1,Excelente,,, Occidente,3,2,110000000.0
521,9 a 15 años,75,2,Excelente,3º,, Noroccidente,2,3,112000000.0
530,16 a 30 años,42,1,Bueno,3º,, Occidente,2,2,113000000.0
532,16 a 30 años,60,1,,,, Occidente,2,2,113000000.0
537,1 a 8 años,90,2,,,, Sur,2,3,114900000.0
551,1 a 8 años,60,1,,,2, Sur,2,2,115000000.0
552,1 a 8 años,150,1,,,, Sur,2,4,115000000.0
558,9 a 15 años,60,1,Remodelar,2º,, Sur,2,3,115000000.0
561,1 a 8 años,68,3,Bueno,3º,, Sur,2,4,115000000.0
562,9 a 15 años,104,1,Bueno,1º,, Sur,2,2,115000000.0
567,1 a 8 años,70,2,,,, Sur,2,4,115000000.0
577,9 a 15 años,52,2,Excelente,4º,, Sur,2,3,115000000.0
581,9 a 15 años,50,2,Excelente,3º,, Sur,2,3,115000000.0
586,1 a 8 años,70,2,,,, Sur,2,4,115000000.0
595,1 a 8 años,72,1,,,1, Sur,2,3,115000000.0
598,9 a 15 años,58,1,,,, Sur,2,3,115000000.0
599,1 a 8 años,144,2,Excelente,4º,, Sur,2,4,115000000.0
609,1 a 8 años,54,2,Excelente,,1, Sur,2,2,115900000.0
610,16 a 30 años,87,2,Excelente,3º,, Sur,2,3,115950000.0
625,9 a 15 años,64,2,Bueno,3º,, Sur,2,3,118000000.0
641,9 a 15 años,52,1,Bueno,1º,, Occidente,2,2,118000000.0
650,1 a 8 años,76,2,,,, Sur,2,4,119000000.0
654,9 a 15 años,72,2,Bueno,4º,, Sur,2,4,119900000.0
655,9 a 15 años,45,2,Bueno,,, Sur,2,4,119900000.0
656,9 a 15 años,52,1,Excelente,4º,, Sur,2,3,119900000.0
658,9 a 15 años,72,2,Bueno,3º,, Sur,2,4,119900000.0
661,1 a 8 años,75,2,Excelente,,1, Sur,2,4,119900000.0
663,16 a 30 años,29,1,Bueno,1º,, Chapinero,2,2,119900000.0
671,9 a 15 años,45,1,Excelente,,, Occidente,2,3,120000000.0
681,1 a 8 años,72,10,Excelente,2º,, Sur,2,2,120000000.0
683,16 a 30 años,100,2,,,1, Sur,1,4,120000000.0
708,16 a 30 años,108,2,,,, Sur,2,3,120000000.0
710,1 a 8 años,72,2,,,, Sur,1,4,120000000.0
713,16 a 30 años,60,1,Excelente,1º,, Sur,2,3,120000000.0
715,9 a 15 años,60,2,,,, Sur,2,4,120000000.0
718,Más de 30 años,60,1,Bueno,1º,, Sur,2,2,120000000.0
720,9 a 15 años,25,2,Excelente,3º,, Sur,2,4,120000000.0
722,9 a 15 años,66,2,Excelente,3º,, Sur,2,4,120000000.0
729,9 a 15 años,42,1,Excelente,2º,, Sur,2,2,120000000.0
736,1 a 8 años,68,2,,,1, Sur,2,3,120000000.0
742,9 a 15 años,45,1,,,, Sur,2,2,120000000.0
748,9 a 15 años,115,2,Excelente,3º,, Sur,2,3,120000000.0
751,1 a 8 años,49,1,Bueno,2º,, Sur,2,3,120000000.0
760,9 a 15 años,35,2,Excelente,3º,1, Occidente,3,3,120000000.0
761,9 a 15 años,33,2,Excelente,2º,, Sur,2,2,120000000.0
762,16 a 30 años,170,2,,,, Sur,2,3,120000000.0
769,9 a 15 años,22,3,,,, Sur,2,5,120000000.0
775,16 a 30 años,60,1,,,, Noroccidente,3,3,120000000.0
777,9 a 15 años,33,2,Excelente,2º,, Sur,2,2,120000000.0
779,9 a 15 años,46,1,Excelente,3º,, Noroccidente,3,2,120000000.0
783,1 a 8 años,48,2,Bueno,2º,, Sur,2,2,121000000.0
786,1 a 8 años,72,2,,,1, Sur,2,3,122000000.0
793,16 a 30 años,131,1,Bueno,,, Sur,2,6,122529862.0
797,16 a 30 años,50,1,Bueno,,, Sur,2,2,123000000.0
805,9 a 15 años,48,1,Bueno,3º,, Sur,2,2,123000000.0
806,9 a 15 años,96,2,Remodelar,,, Sur,2,4,123000000.0
807,1 a 8 años,48,1,,,, Sur,2,3,123000000.0
814,9 a 15 años,62,2,Excelente,,, Sur,2,2,124900000.0
820,1 a 8 años,90,2,,,, Sur,2,3,124950000.0
821,1 a 8 años,72,2,,,1, Sur,2,2,124950000.0
825,9 a 15 años,58,1,Bueno,3º,, Occidente,2,3,125000000.0
833,16 a 30 años,72,1,Bueno,3º,1, Occidente,2,2,125000000.0
841,1 a 8 años,99,1,Bueno,3º,, Sur,2,4,125000000.0
842,16 a 30 años,120,2,Bueno,3º,, Sur,2,4,125000000.0
847,9 a 15 años,39,1,Bueno,3º,, Noroccidente,3,2,125000000.0
849,9 a 15 años,108,3,,,, Sur,2,4,125000000.0
870,Menos de 1 año,72,2,Excelente,3º,1, Sur,2,3,125000000.0
872,9 a 15 años,60,2,Excelente,1º,, Occidente,3,3,125000000.0
879,9 a 15 años,44,1,Bueno,3º,, Noroccidente,3,2,125000000.0
881,16 a 30 años,72,2,Excelente,3º,1, Sur,2,5,125000000.0
892,16 a 30 años,72,2,Excelente,3º,, Sur,2,6,125000000.0
894,1 a 8 años,36,2,Excelente,,, Noroccidente,3,3,125000000.0
898,16 a 30 años,72,2,Excelente,3º,, Sur,2,6,125000000.0
911,16 a 30 años,46,1,,,, Occidente,2,2,125000000.0
913,9 a 15 años,43,1,Excelente,3º,, Noroccidente,3,2,125000000.0
920,9 a 15 años,65,2,,,, Occidente,2,3,125000000.0
928,1 a 8 años,67,2,,,1, Sur,2,4,125000000.0
929,1 a 8 años,99,1,Bueno,3º,, Sur,2,4,125000000.0
939,9 a 15 años,65,2,Excelente,3º,, Noroccidente,3,3,126000000.0
941,1 a 8 años,73,2,Excelente,2º,, Sur,2,3,126000000.0
942,1 a 8 años,90,2,Excelente,3º,1, Noroccidente,2,3,127000000.0
945,9 a 15 años,327,2,Bueno,2º,, Sur,2,4,127000000.0
954,9 a 15 años,60,2,Excelente,3º,, Noroccidente,3,3,128000000.0
962,1 a 8 años,67,2,Bueno,3º,, Sur,2,4,128000000.0
983,9 a 15 años,54,1,Excelente,,1, Noroccidente,3,3,129000000.0
992,9 a 15 años,54,1,Excelente,,1, Noroccidente,3,3,129000000.0
996,9 a 15 años,54,1,Excelente,,1, Noroccidente,3,3,129000000.0
1006,9 a 15 años,42,2,Bueno,,1, Sur,2,2,129900000.0
1008,1 a 8 años,120,2,Excelente,,, Sur,1,4,129900000.0
1009,1 a 8 años,72,2,Excelente,,1, Sur,2,2,129900000.0
1011,9 a 15 años,67,2,Excelente,3º,1, Sur,2,4,129900000.0
1013,9 a 15 años,48,1,Excelente,,1, Sur,2,3,129900000.0
1017,9 a 15 años,67,2,Excelente,3º,1, Sur,2,4,129900000.0
1020,9 a 15 años,52,2,Excelente,3º,1, Sur,2,4,130000000.0
1025,Menos de 1 año,80,2,Excelente,2º,1, Sur,2,2,130000000.0
1027,1 a 8 años,87,3,Excelente,,, Sur,2,3,130000000.0
1042,16 a 30 años,49,1,Excelente,Otros,, Occidente,3,2,130000000.0
1054,9 a 15 años,55,1,Bueno,3º,, Occidente,2,3,130000000.0
1055,9 a 15 años,60,2,Excelente,4º,, Sur,2,3,130000000.0
1060,16 a 30 años,65,1,Remodelar,3º,, Occidente,2,3,130000000.0
1068,1 a 8 años,56,2,Excelente,2º,, Sur,2,3,130000000.0
1074,1 a 8 años,87,3,Excelente,,, Sur,2,3,130000000.0
1081,1 a 8 años,60,2,Excelente,4º,1, Occidente,2,3,130000000.0
1091,16 a 30 años,42,1,Bueno,3º,, Occidente,2,2,130000000.0
1094,9 a 15 años,148,1,,,1, Sur,2,3,130000000.0
1098,9 a 15 años,63,1,Bueno,3º,, Occidente,3,2,130000000.0
1105,16 a 30 años,36,1,Excelente,2º,1, Sur,2,2,130000000.0
1107,9 a 15 años,68,1,Bueno,,, Occidente,3,3,130000000.0
1108,1 a 8 años,60,2,Excelente,4º,1, Occidente,2,3,130000000.0
1113,16 a 30 años,47,1,Bueno,2º,, Noroccidente,2,2,130000000.0
1119,1 a 8 años,72,2,,,, Sur,1,4,130000000.0
1121,16 a 30 años,35,3,Excelente,3º,, Noroccidente,2,4,130000000.0
1122,1 a 8 años,50,1,,,, Sur,2,3,130000000.0
1125,9 a 15 años,63,1,Excelente,2º,, Sur,2,2,130000000.0
1129,9 a 15 años,6254,1,Excelente,3º,, Noroccidente,3,2,130000000.0
1130,1 a 8 años,72,1,,,, Noroccidente,2,4,130000000.0
1133,9 a 15 años,60,2,Excelente,3º,, Sur,2,3,130000000.0
1136,9 a 15 años,58,2,Excelente,,, Occidente,2,3,130000000.0
1141,Menos de 1 año,72,2,Excelente,2º,1, Sur,2,2,130000000.0
1146,1 a 8 años,87,3,Excelente,,, Sur,2,3,130000000.0
1150,9 a 15 años,76,2,Excelente,,, Sur,1,0,130000000.0
1151,1 a 8 años,87,3,Excelente,,, Sur,2,3,130000000.0
1159,1 a 8 años,72,2,Excelente,,1, Sur,2,3,130000000.0
1161,9 a 15 años,65,2,Excelente,3º,, Sur,2,3,130000000.0
1162,9 a 15 años,54,2,Bueno,,, Norte,3,4,130000000.0
1171,9 a 15 años,64,2,Bueno,,, Noroccidente,3,3,131500000.0
1172,9 a 15 años,64,2,Bueno,,, Noroccidente,3,3,131500000.0
1176,9 a 15 años,65,1,,,, Sur,2,3,132000000.0
1189,1 a 8 años,75,2,,3º,1, Noroccidente,3,3,134000000.0
1198,9 a 15 años,51,3,Bueno,,, Sur,2,3,134900000.0
1199,Más de 30 años,65,1,Bueno,1º,, Sur,2,2,134900000.0
1203,1 a 8 años,84,2,Excelente,,, Sur,2,4,134900000.0
1208,9 a 15 años,78,2,,,, Sur,2,3,135000000.0
1211,9 a 15 años,68,2,Excelente,3º,Más de 10, Occidente,2,4,135000000.0
1224,9 a 15 años,66,1,,,, Sur,2,4,135000000.0
1226,16 a 30 años,72,2,Excelente,2º,, Sur,2,4,135000000.0
1234,16 a 30 años,72,2,Excelente,2º,, Sur,2,4,135000000.0
1238,9 a 15 años,44,1,Bueno,3º,, Noroccidente,3,2,135000000.0
1239,16 a 30 años,66,1,,,1, Sur,2,3,135000000.0
1245,16 a 30 años,65,1,Excelente,,, Sur,2,3,135000000.0
1250,1 a 8 años,75,2,,,1, Sur,3,4,135000000.0
1255,16 a 30 años,60,2,Excelente,3º,1, Noroccidente,2,3,135000000.0
1258,1 a 8 años,72,2,Excelente,Otros,, Sur,2,3,135000000.0
1260,9 a 15 años,62,1,,,, Sur,2,2,135000000.0
1266,9 a 15 años,55,1,,,, Sur,2,4,135000000.0
1267,9 a 15 años,54,1,,,, Occidente,3,2,135000000.0
1269,9 a 15 años,64,2,Bueno,,, Noroccidente,2,3,135000000.0
1272,1 a 8 años,110,2,Excelente,1º,1, Sur,2,3,135000000.0
1276,9 a 15 años,68,2,Bueno,3º,, Noroccidente,3,4,135000000.0
1279,16 a 30 años,72,2,Excelente,2º,, Sur,2,4,135000000.0
1283,9 a 15 años,69,2,Bueno,,, Occidente,2,3,135000000.0
1285,16 a 30 años,72,2,Excelente,2º,, Sur,2,4,135000000.0
1288,9 a 15 años,84,2,Excelente,3º,, Occidente,2,3,135000000.0
1298,9 a 15 años,54,1,,,, Occidente,3,2,135000000.0
1300,Menos de 1 año,72,2,,2º,, Sur,1,3,135000000.0
1304,9 a 15 años,75,2,,,, Sur,3,4,135000000.0
1310,1 a 8 años,44,2,Excelente,2º,1, Sur,2,3,135000000.0
1312,9 a 15 años,58,2,Excelente,1º,, Sur,2,3,135000000.0
1319,16 a 30 años,144,3,,3º,, Sur,2,6,135000000.0
1322,16 a 30 años,60,2,Excelente,3º,, Sur,2,4,135000000.0
1327,16 a 30 años,36,1,Remodelar,2º,, Sur,2,1,135000000.0
1332,16 a 30 años,72,2,Excelente,2º,, Sur,2,4,135000000.0
1334,Menos de 1 año,72,1,Excelente,,, Sur,2,2,135900000.0
1341,9 a 15 años,68,2,Bueno,3º,, Noroccidente,3,4,136000000.0
1386,1 a 8 años,63,2,,,1, Sur,2,3,138900000.0
1397,9 a 15 años,59,1,Excelente,,, Occidente,2,3,139000000.0
1405,9 a 15 años,59,1,Excelente,,, Occidente,2,3,139000000.0
1407,9 a 15 años,59,1,Excelente,,, Occidente,2,3,139000000.0
1410,16 a 30 años,108,3,Remodelar,3º,1, Sur,2,3,139000000.0
1411,9 a 15 años,59,1,Excelente,,, Occidente,2,3,139000000.0
1417,16 a 30 años,108,2,Bueno,4º,, Sur,2,4,139900000.0
1419,9 a 15 años,94,3,Excelente,,1, Occidente,2,3,139900000.0
1420,9 a 15 años,73,2,Bueno,4º,, Sur,3,3,139900000.0
1422,9 a 15 años,87,2,Bueno,4º,, Sur,2,4,139900000.0
1428,9 a 15 años,99,2,Excelente,,, Sur,2,6,139900000.0
1430,9 a 15 años,50,3,Bueno,3º,, Noroccidente,2,3,139900000.0
1432,Menos de 1 año,132,2,Excelente,4º,1, Sur,2,3,139990000.0
1433,Menos de 1 año,132,2,Excelente,4º,1, Sur,2,3,139990000.0
1436,16 a 30 años,70,2,,,, Sur,2,3,140000000.0
1446,16 a 30 años,70,2,,,, Sur,2,3,140000000.0
1458,16 a 30 años,93,2,,,, Sur,2,4,140000000.0
1467,1 a 8 años,73,2,Excelente,4º,1, Occidente,3,3,140000000.0
1475,1 a 8 años,85,2,Excelente,3º,, Occidente,2,4,140000000.0
1479,9 a 15 años,68,2,Excelente,1º,1, Sur,2,3,140000000.0
1483,9 a 15 años,59,1,Bueno,,, Sur,3,3,140000000.0
1484,9 a 15 años,67,2,,,, Sur,2,4,140000000.0
1487,1 a 8 años,56,1,Excelente,2º,, Sur,2,2,140000000.0
1488,16 a 30 años,80,2,Bueno,3º,, Sur,2,3,140000000.0
1490,9 a 15 años,120,2,Excelente,4º,1, Sur,2,4,140000000.0
1504,1 a 8 años,85,1,,,1, Sur,2,3,140000000.0
1512,9 a 15 años,55,1,Excelente,2º,, Sur,2,2,140000000.0
1519,9 a 15 años,60,2,Excelente,3º,, Occidente,2,4,140000000.0
1522,9 a 15 años,205,3,Bueno,3º,1, Sur,2,6,140000000.0
1532,9 a 15 años,65,1,Remodelar,3º,, Occidente,2,4,140000000.0
1543,9 a 15 años,60,2,Excelente,3º,, Occidente,2,4,140000000.0
1550,9 a 15 años,53,1,,,, Sur,2,3,140000000.0
1552,1 a 8 años,70,2,Excelente,3º,, Occidente,2,4,140000000.0
1559,9 a 15 años,76,2,Bueno,,, Sur,3,2,140000000.0
1561,9 a 15 años,71,2,,,, Sur,2,4,140000000.0
1562,9 a 15 años,59,1,Bueno,,, Sur,3,3,140000000.0
1568,9 a 15 años,53,2,,,1, Sur,3,3,140000000.0
1570,16 a 30 años,87,1,Excelente,,, Sur,2,3,142000000.0
1576,9 a 15 años,70,1,Excelente,3º,1, Occidente,2,4,142000000.0
1581,1 a 8 años,71,2,,,1, Noroccidente,2,2,143000000.0
1598,1 a 8 años,117,3,Excelente,,1, Sur,2,6,144900000.0
1599,16 a 30 años,144,4,Bueno,2º,, Sur,2,8,144900000.0
1600,9 a 15 años,87,3,Excelente,,, Noroccidente,2,4,144900000.0
1601,1 a 8 años,108,2,Excelente,,, Sur,2,3,144900000.0
1603,1 a 8 años,121,3,Excelente,,, Chapinero,2,4,144900000.0
1607,9 a 15 años,72,2,,,1, Sur,2,3,145000000.0
1608,9 a 15 años,52,1,Bueno,3º,, Occidente,3,2,145000000.0
1609,1 a 8 años,108,2,Excelente,1º,, Occidente,2,3,145000000.0
1610,9 a 15 años,72,2,,,1, Sur,2,3,145000000.0
1612,1 a 8 años,74,3,,,1, Occidente,3,4,145000000.0
1614,Menos de 1 año,80,2,,,1, Sur,2,2,145000000.0
1621,1 a 8 años,90,2,Excelente,3º,, Sur,2,3,145000000.0
1627,Menos de 1 año,80,2,,,1, Sur,2,2,145000000.0
1632,9 a 15 años,75,2,Bueno,1º,, Noroccidente,2,3,145000000.0
1635,9 a 15 años,60,2,,,1, Noroccidente,3,2,145000000.0
1648,1 a 8 años,72,2,Excelente,3º,1, Sur,1,2,145000000.0
1660,9 a 15 años,70,2,,,Más de 10, Occidente,2,3,145000000.0
1663,1 a 8 años,74,3,,,1, Noroccidente,3,4,145000000.0
1667,9 a 15 años,70,2,,3º,, Occidente,3,4,145000000.0
1690,9 a 15 años,58,2,Bueno,3º,, Occidente,2,4,145000000.0
1695,9 a 15 años,68,2,,,, Occidente,2,4,145000000.0
1701,1 a 8 años,74,3,,,1, Chapinero,3,4,145000000.0
1702,1 a 8 años,60,2,,,, Occidente,2,3,145000000.0
1704,16 a 30 años,120,2,,,, Sur,3,3,145000000.0
1708,9 a 15 años,72,2,Excelente,3º,1, Sur,2,3,145000000.0
1710,1 a 8 años,72,2,,,1, Sur,3,3,145000000.0
1713,16 a 30 años,130,3,Bueno,3º,, Sur,1,5,145000000.0
1718,9 a 15 años,65,2,Excelente,3º,, Occidente,2,3,145000000.0
1720,1 a 8 años,72,2,,,1, Sur,3,3,145000000.0
1721,16 a 30 años,315,2,Bueno,2º,, Sur,2,12,145342541.0
1723,9 a 15 años,54,2,Bueno,3º,, Occidente,2,3,146000000.0
